keys,es,en
Text/d2/text,"Miré en el cráter volcánico que usaba como caldero, la mezcla de las esencias estaba dentro, pero no tenía ni idea de cómo utilizarlas, o mezclarlas…","I stared into the volcanic crater she used as a cauldron, the mixture of essences was inside of it, but I had no idea of how to use them, or handle them…"
Text/d3/text,No me queda otra que salir e intentar encontrar otra manera de volver a la normalidad… Con suerte conseguiré la esencia esa que me hace falta o algo…,I have no choice but to leave and try to find another way back to normal… With some luck I'll manage to get that missing essence or something…
Label/d4/display_name,,
Text/d5/text,¡Nrgh-! ¡No lo haces mal para haber sido transformado hace tan poco tiempo!,Nrgh-! Not too bad for someone who was only transformed a bit ago!
Text/d6/text,¡¡¡Sin embargo…!!!,However…!!!
Text/d7/text,"La bruja me agarró del cuello y me embistió contra la pared, haciéndome perder el control de mi cuerpo por momentos.","The witch grabbed me by the neck and slammed me into the wall, making me lose control of my body for a moment."
Text/d8/text,"Fueron esos pocos segundos en los que los esbirros de la bruja se abalanzaron sobre mí, mordiendo mis muñecas y mi cola para atraparme, haciéndome aullar de dolor.","It was in those few seconds that the witch’s minions clamped down on me, biting my wrists and my tail to trap me, making me wail in pain."
Text/d9/text,"¿Qué, ya no eres tan valiente eh? No me subestimes solo por mi forma escuálida, mentecato.","Not so brave now huh? Don’t underestimate me just because of my squalid appearance, idiot."
Text/da/text,N-Nnngghh… N-No puede ser…,N-Nnngghh… I-It can’t be…
Text/db/text,"Parece que he sido la ganadora de esta contienda, y ahora que he visto que no estás dispuesto a cooperar…","It seems I won this round, and now that I'm well aware that you refuse to cooperate…"
Text/dc/text,Voy a asegurarme de que no vuelvas a desobedecerme nunca.,[b]I’m going to make sure you will never disobey me again.[/b]
Text/dd/text,"Lo último que ví fue como la bruja me lanzó un hechizo nuevamente, mucho más doloroso que el primero…","The last thing I saw was how the witch shot another spell at me, a far more painful one than the first…"
Text/de/text,Sentí como mi cuerpo lentamente se retorcía de dolor mientras era transformado nuevamente por mi osadía…,I felt my entire body squirm in agony as I was newly transformed for my boldness…
Text/df/text,"En cuestión de minutos, me había convertido en algo aún más insignificante, era incapaz de procesar lo que era ahora, mi inteligencia había sido reducida a tal punto que solo podía pensar en comer…","In a matter of minutes, I had been turned into something far more insignificant, I was unable to process what I had become, my intelligence had been reduced to a point that I could only think about eating…"
Text/e0/text,Como un animal salvaje… Comer… comer…,Like a wild animal… Eat… eat…
Text/e1/text,"¡Tal vez esta nueva forma sea más de tu tipo, jajajaja! ¡Disfruta de ser una sanguijuela abisal, esbirro~!","Maybe this new form is more to your liking, kyahahaha! Enjoy being an abyssal leech, minion~!"
Text/e2/text,Solo soy… un esbirro más ahora… No puedo pensar por mi mismo… solo puedo comer… obedecer…,I’m only… another minion now… I can’t think for myself… only eat… obey…
Text/e3/text,Si tan solo… hubiera tenido algo con lo que defenderme… tal vez podría haber sido distinto…,If only I… had something to defend myself then… maybe things would’ve been different…
Choice/e4/text,Reintentar,Retry
Choice/e4/disabled_text,,
Choice/e5/text,Me rindo,I surrender
Choice/e5/disabled_text,,
